Bait	Prey	#Rep	#Pep	#Frag	AvgP	BFDR
EIF4A2	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	5	0.0218064	0.6118204
MEPCE	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	5	0.0077615	0.6280229
EIF4A2	gi|10863889|gn|SART1:9092| U4/U6	3	1	105	0.3624047	0.3090859
MEPCE	gi|10863889|gn|SART1:9092| U4/U6	3	1	105	0.9901325	0.0014932
EIF4A2	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	5|5|5|10|5	0.3125070	0.3577120
MEPCE	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	5|5|5|10|5	0.3749618	0.2963775
EIF4A2	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10	0.5360904	0.1722330
MEPCE	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10	0.9700345	0.0054846
EIF4A2	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	4	5|10|5|10	0.3130134	0.3567822
MEPCE	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	4	5|10|5|10	0.9995853	0.0000690
EIF4A2	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.9991654	0.0001258
MEPCE	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.5065608	0.1897252
EIF4A2	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.2372394	0.4303737
MEPCE	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.3592292	0.3122859
EIF4A2	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	2	5|5	0.1264620	0.5322942
MEPCE	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	2	5|5	0.1083733	0.5471953
EIF4A2	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	5|5|5|5|5|10|5|5|5	0.2302637	0.4390085
MEPCE	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	5|5|5|5|5|10|5|5|5	0.2334866	0.4346028
EIF4A2	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	4	5|5|5|5	0.9447976	0.0104454
MEPCE	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	4	5|5|5|5	0.5983510	0.1388016
EIF4A2	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.7889283	0.0522491
MEPCE	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.4189626	0.2573058
EIF4A2	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	1	5	0.4598620	0.2231315
MEPCE	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	1	5	0.3188455	0.3498629
EIF4A2	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	2	5|5	0.0065110	0.6304833
MEPCE	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	2	5|5	0.0135733	0.6193939
EIF4A2	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	1	5	0.0114499	0.6230343
MEPCE	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	1	5	0.0074055	0.6284861
EIF4A2	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.3280126	0.3411800
MEPCE	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.2930771	0.3754710
EIF4A2	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	2	5|5	0.1459300	0.5144385
MEPCE	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	2	5|5	0.2405317	0.4268472
EIF4A2	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	4	5|5|5|5	0.1197651	0.5381408
MEPCE	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	4	5|5|5|5	0.2815716	0.3847700
EIF4A2	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.2232602	0.4471502
MEPCE	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.2278382	0.4421472
EIF4A2	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	2	5|5	0.0310037	0.6051050
MEPCE	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	2	5|5	0.2236685	0.4462038
EIF4A2	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	2	5|5	0.1164645	0.5414892
MEPCE	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	2	5|5	0.0049511	0.6330733
EIF4A2	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	5	5|10|5|5|5	0.3661666	0.3069443
MEPCE	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	5	5|10|5|5|5	0.5149181	0.1849124
EIF4A2	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	5	5|5|5|5|5	0.3734416	0.2974899
MEPCE	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	5	5|5|5|5|5	0.0627879	0.5819351
EIF4A2	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	1	5	0.0110211	0.6236627
MEPCE	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	1	5	0.0103290	0.6249151
EIF4A2	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	1	5	0.1731918	0.4891882
MEPCE	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	1	5	0.0598418	0.5848356
EIF4A2	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	1	5	0.1423220	0.5179993
MEPCE	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	1	5	0.7678633	0.0626480
EIF4A2	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	1	5	0.1143170	0.5429669
MEPCE	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	1	5	0.2213602	0.4476221
EIF4A2	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	5	5|5|5|5|5	0.0562255	0.5873749
MEPCE	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	5	5|5|5|5|5	0.1516788	0.5096345
EIF4A2	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	1	5	0.2924353	0.3763530
MEPCE	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	1	5	0.4118301	0.2626360
EIF4A2	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	2	5|5	0.3410527	0.3295568
MEPCE	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	2	5|5	0.4038898	0.2706895
EIF4A2	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	3	5|5|5	0.1617343	0.5013130
MEPCE	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	3	5|5|5	0.5979503	0.1392975
EIF4A2	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9994414	0.0000898
MEPCE	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.5568571	0.1614610
EIF4A2	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	5	5|5|5|5|5	0.2147229	0.4537331
MEPCE	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	5	5|5|5|5|5	0.1682426	0.4948844
EIF4A2	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	1	4	0.8006158	0.0496207
MEPCE	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	1	4	0.3108155	0.3592530
EIF4A2	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	1	5	0.0022927	0.6378757
MEPCE	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	1	5	0.1519262	0.5092315
EIF4A2	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	1	5	0.1845569	0.4788213
MEPCE	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	1	5	0.1693638	0.4938368
EIF4A2	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.1884653	0.4748525
MEPCE	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.2006600	0.4643045
EIF4A2	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.3255154	0.3447416
MEPCE	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.4014588	0.2734609
EIF4A2	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.6516429	0.1127766
MEPCE	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.6530508	0.1112901
EIF4A2	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.0290293	0.6057631
MEPCE	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.0532792	0.5892347
EIF4A2	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.3715198	0.3008006
MEPCE	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.2860463	0.3821775
EIF4A2	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	1	5	0.1361305	0.5234804
MEPCE	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	1	5	0.3155138	0.3533443
EIF4A2	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	1	5	0.3182152	0.3501809
MEPCE	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	1	5	0.7340698	0.0751600
EIF4A2	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	10	5|5|5|5|5|10|5|5|10|5	0.1901129	0.4741875
MEPCE	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	10	5|5|5|5|5|10|5|5|10|5	0.3697153	0.3026200
EIF4A2	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	1	5	0.0039470	0.6344335
MEPCE	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	1	5	0.0122723	0.6222472
EIF4A2	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	2	5|5	0.7677996	0.0631012
MEPCE	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	2	5|5	0.9998314	0.0000202
EIF4A2	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	8	5|10|5|5|5|5|5|5	0.6334706	0.1240659
MEPCE	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	8	5|10|5|5|5|5|5|5	0.3299677	0.3382270
EIF4A2	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	5	5|5|5|5|5	0.8728669	0.0245944
MEPCE	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	5	5|5|5|5|5	0.8964923	0.0201881
EIF4A2	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	1	5	0.0856284	0.5665552
MEPCE	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	1	5	0.0337430	0.6024651
EIF4A2	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|10	0.3325957	0.3365736
MEPCE	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|10	0.1910413	0.4726312
EIF4A2	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	2	5|5	0.0339629	0.6021338
MEPCE	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	2	5|5	0.0542512	0.5883899
EIF4A2	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	5	5|5|5|5|5	0.4068996	0.2670908
MEPCE	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	5	5|5|5|5|5	0.6158378	0.1313869
EIF4A2	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.6908459	0.0897204
MEPCE	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.8950750	0.0204967
EIF4A2	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	1	5	0.2465646	0.4217494
MEPCE	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	1	5	0.3451309	0.3244563
EIF4A2	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	32	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.1042155	0.5503023
MEPCE	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	32	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.1085343	0.5470119
EIF4A2	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.1046545	0.5497550
MEPCE	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.1576042	0.5053922
EIF4A2	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.4750955	0.2117373
MEPCE	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9974569	0.0003964
EIF4A2	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	1	5	0.0251617	0.6088840
MEPCE	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	1	5	0.1104445	0.5460942
EIF4A2	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	6	5|5|5|5|5|5	0.4234549	0.2539953
MEPCE	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	6	5|5|5|5|5|5	0.4024336	0.2722765
EIF4A2	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	1	5	0.0918517	0.5602010
MEPCE	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	1	5	0.1802266	0.4831763
EIF4A2	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	2	5|5	0.0897198	0.5625121
MEPCE	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	2	5|5	0.0617067	0.5824484
EIF4A2	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	1	5	0.2381628	0.4288670
MEPCE	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	1	5	0.1824686	0.4810059
EIF4A2	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	18	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5	0.0696863	0.5781710
MEPCE	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	18	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5	0.1419014	0.5181962
EIF4A2	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	4	5|5|5|5	0.1267944	0.5317242
MEPCE	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	4	5|5|5|5	0.4307020	0.2498389
EIF4A2	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	43	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|10|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.3601515	0.3108679
MEPCE	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	43	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|10|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.2159863	0.4525673
EIF4A2	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	1	5	1.0000000	0.0000000
MEPCE	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	1	5	0.4895790	0.2024925
EIF4A2	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	1	5	0.0971600	0.5568012
MEPCE	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	1	5	0.2289918	0.4404615
EIF4A2	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	3	5|5|5	0.3979926	0.2750377
MEPCE	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	3	5|5|5	0.9914246	0.0012302
EIF4A2	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.2544206	0.4118218
MEPCE	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.1825160	0.4807879
EIF4A2	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	1	5	0.4701564	0.2144937
MEPCE	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	1	5	0.1613105	0.5021327
EIF4A2	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	2	5|5	0.0563913	0.5872057
MEPCE	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	2	5|5	0.0072312	0.6291026
EIF4A2	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	5	5|5|5|5|5	0.9900922	0.0015476
MEPCE	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	5	5|5|5|5|5	0.8376286	0.0366555
EIF4A2	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	1	5	0.1996554	0.4649872
MEPCE	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	1	5	0.1502279	0.5104382
EIF4A2	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	1	5	0.0453369	0.5937748
MEPCE	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	1	5	0.1185912	0.5396330
EIF4A2	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	3	10|5|5	0.0133509	0.6200309
MEPCE	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	3	10|5|5	0.1030751	0.5513938
EIF4A2	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	6	5|5|5|5|5|5	0.3223029	0.3466664
MEPCE	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	6	5|5|5|5|5|5	0.7533480	0.0681499
EIF4A2	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	2	5|5	0.1637722	0.4988385
MEPCE	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	2	5|5	0.2179064	0.4497497
EIF4A2	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.0415797	0.5957936
MEPCE	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.1805103	0.4827431
EIF4A2	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	1	5	0.0071277	0.6295637
MEPCE	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	1	5	0.0195510	0.6137659
