Bait	Prey	#Rep	AvgP	BFDR
MEPCE	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	0.0022893	0.5823134
EIF4A2	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	0.0005732	0.6225117
MEPCE	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	0.2682957	0.2673473
EIF4A2	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	0.0000162	0.7030847
MEPCE	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	0.0000370	0.6889130
EIF4A2	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	0.0075077	0.5308649
MEPCE	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	0.1545662	0.3284499
EIF4A2	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	0.0032428	0.5709943
MEPCE	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	0.0000362	0.6893622
EIF4A2	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	0.0001275	0.6607875
MEPCE	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	0.0822718	0.3927883
EIF4A2	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	0.0000000	0.7358992
MEPCE	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	0.0000001	0.7339389
EIF4A2	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	0.0004478	0.6281609
MEPCE	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	0.0003208	0.6363272
EIF4A2	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	0.0007443	0.6155499
MEPCE	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	0.0000830	0.6706544
EIF4A2	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	0.0920289	0.3821000
MEPCE	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	0.3103757	0.2475025
EIF4A2	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	0.0018667	0.5904934
MEPCE	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	0.4122986	0.1558029
EIF4A2	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	0.0002545	0.6427659
MEPCE	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	0.3156724	0.2458102
EIF4A2	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	0.0025733	0.5787875
MEPCE	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	0.0558594	0.4240154
EIF4A2	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	0.3370611	0.2160694
MEPCE	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	0.0576560	0.4202356
EIF4A2	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	0.0052780	0.5508633
MEPCE	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	0.5739937	0.1109439
EIF4A2	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	0.9656759	0.0017967
MEPCE	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	0.0954240	0.3795239
EIF4A2	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	0.0000042	0.7167700
MEPCE	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	0.0000035	0.7191127
EIF4A2	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	0.9998353	0.0000075
MEPCE	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	0.1638191	0.3217050
EIF4A2	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	0.0000038	0.7180078
MEPCE	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	0.0243898	0.4729857
EIF4A2	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	0.1511906	0.3323507
MEPCE	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	0.1052710	0.3727883
EIF4A2	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	0.0000014	0.7246273
MEPCE	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	0.0001639	0.6540606
EIF4A2	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	0.2810952	0.2610914
MEPCE	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	0.1088608	0.3686129
EIF4A2	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	0.6877562	0.0390167
MEPCE	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	0.6659833	0.0726139
EIF4A2	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	0.0001664	0.6531311
MEPCE	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	0.0233031	0.4762684
EIF4A2	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	0.9994441	0.0000256
MEPCE	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	0.3608984	0.1836370
EIF4A2	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	0.0000060	0.7140080
MEPCE	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	0.0035616	0.5652551
EIF4A2	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	0.3196030	0.2446859
MEPCE	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	0.9388179	0.0031179
EIF4A2	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	0.0001741	0.6516335
MEPCE	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	0.6499169	0.0830470
EIF4A2	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	0.0000356	0.6895117
MEPCE	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	0.0003027	0.6375520
EIF4A2	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	0.9999988	0.0000000
MEPCE	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	0.0002449	0.6439480
MEPCE	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	0.0002245	0.6462889
EIF4A2	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	0.9999388	0.0000023
MEPCE	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	0.9999900	0.0000003
EIF4A2	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	0.0106524	0.5134660
MEPCE	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	0.0068067	0.5368430
EIF4A2	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	0.0000395	0.6877085
MEPCE	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	0.0000254	0.6953749
EIF4A2	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	0.0000483	0.6829519
MEPCE	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	0.0004285	0.6292281
EIF4A2	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	0.0608229	0.4154568
MEPCE	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	0.6628286	0.0768076
EIF4A2	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	0.9979366	0.0001067
MEPCE	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	0.0039898	0.5611481
MEPCE	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	0.0225548	0.4783018
EIF4A2	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	0.0001018	0.6653604
MEPCE	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	0.0000444	0.6846562
EIF4A2	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	0.0000095	0.7101538
MEPCE	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	0.0000241	0.6963783
EIF4A2	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	0.0337603	0.4552094
MEPCE	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	0.0001193	0.6614991
MEPCE	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	0.0003678	0.6328117
EIF4A2	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	0.0008041	0.6134809
MEPCE	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	0.0459466	0.4378751
EIF4A2	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	0.0004015	0.6302893
MEPCE	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	0.0033986	0.5690025
EIF4A2	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	0.0310489	0.4599536
MEPCE	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	0.0001647	0.6535035
EIF4A2	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	0.0001715	0.6525711
MEPCE	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	0.0007811	0.6144032
EIF4A2	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	0.0000012	0.7266109
MEPCE	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	0.0000007	0.7285662
EIF4A2	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	0.6667032	0.0660914
MEPCE	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	0.7096721	0.0316112
EIF4A2	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	0.0000717	0.6741466
MEPCE	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	0.0002497	0.6435548
EIF4A2	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	0.8775133	0.0075332
MEPCE	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	0.3699833	0.1761986
EIF4A2	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	0.0603148	0.4159373
MEPCE	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	0.1418696	0.3395620
EIF4A2	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	0.3455412	0.1989352
MEPCE	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	0.0013547	0.6018230
MEPCE	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	0.1283195	0.3504775
EIF4A2	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	0.6683227	0.0592555
MEPCE	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	0.0080614	0.5257696
EIF4A2	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	0.0055201	0.5477495
MEPCE	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	0.0000944	0.6677721
EIF4A2	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	0.1843539	0.3115491
MEPCE	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	0.0015623	0.5988625
EIF4A2	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	0.0015289	0.5996066
MEPCE	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	0.0092044	0.5191616
EIF4A2	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	0.0000113	0.7079233
MEPCE	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	0.0382924	0.4464065
EIF4A2	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	0.0006330	0.6205164
MEPCE	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	0.7165756	0.0285729
EIF4A2	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	0.0652374	0.4091624
MEPCE	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	0.1288975	0.3499357
EIF4A2	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	0.0000163	0.7028112
MEPCE	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	0.0034458	0.5681434
EIF4A2	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	0.0001748	0.6514454
MEPCE	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	0.0003986	0.6307121
EIF4A2	gi|13654237|gn|PRKDC:5591| DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	3	0.0868983	0.3872202
MEPCE	gi|13654237|gn|PRKDC:5591| DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	3	0.6129988	0.0973782
EIF4A2	gi|13676857|gn|HSPA2:3306| heat shock-related 70 kDa protein 2 [Homo sapiens]	3	0.0000009	0.7277645
MEPCE	gi|13676857|gn|HSPA2:3306| heat shock-related 70 kDa protein 2 [Homo sapiens]	3	0.0000000	0.7348137
EIF4A2	gi|13699824|gn|KIF11:3832| kinesin-like protein KIF11 [Homo sapiens]	3	0.0000065	0.7135001
MEPCE	gi|13699824|gn|KIF11:3832| kinesin-like protein KIF11 [Homo sapiens]	3	0.0766158	0.3973014
EIF4A2	gi|13786129|gn|RAB33B:83452| ras-related protein Rab-33B [Homo sapiens]	3	0.0012811	0.6025565
MEPCE	gi|13786129|gn|RAB33B:83452| ras-related protein Rab-33B [Homo sapiens]	3	0.0025529	0.5790607
EIF4A2	gi|13904870|gn|RPS5:6193| 40S ribosomal protein S5 [Homo sapiens]	3	0.9999706	0.0000008
MEPCE	gi|13904870|gn|RPS5:6193| 40S ribosomal protein S5 [Homo sapiens]	3	0.9993581	0.0000356
EIF4A2	gi|13994259|gn|MRPS5:64969| 28S ribosomal protein S5, mitochondrial [Homo sapiens]	3	0.0013184	0.6023123
MEPCE	gi|13994259|gn|MRPS5:64969| 28S ribosomal protein S5, mitochondrial [Homo sapiens]	3	0.5201180	0.1231782
EIF4A2	gi|14043022|gn|MARS:4141| methionine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0001346	0.6593552
MEPCE	gi|14043022|gn|MARS:4141| methionine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0000198	0.6999086
EIF4A2	gi|14043070|gn|HNRNPA1:3178| heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|14043070|gn|HNRNPA1:3178| heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|14043072|gn|HNRNPA2B1:3181| heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|14043072|gn|HNRNPA2B1:3181| heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|14110420|gn|HNRNPD:3184| heterogeneous nuclear ribonucleoprotein D0 isoform a [Homo sapiens]	3	0.6394768	0.0856698
MEPCE	gi|14110420|gn|HNRNPD:3184| heterogeneous nuclear ribonucleoprotein D0 isoform a [Homo sapiens]	3	0.4605563	0.1378086
EIF4A2	gi|14141157|gn|HNRNPH3:3189| heterogeneous nuclear ribonucleoprotein H3 isoform a [Homo sapiens]	3	0.4096201	0.1564820
MEPCE	gi|14141157|gn|HNRNPH3:3189| heterogeneous nuclear ribonucleoprotein H3 isoform a [Homo sapiens]	3	0.1496403	0.3329061
EIF4A2	gi|14141193|gn|RPS9:6203| 40S ribosomal protein S9 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|14141193|gn|RPS9:6203| 40S ribosomal protein S9 [Homo sapiens]	3	0.9999524	0.0000017
EIF4A2	gi|14149680|gn|ESYT1:23344| extended synaptotagmin-1 isoform 2 [Homo sapiens]	3	0.0001035	0.6651868
MEPCE	gi|14149680|gn|ESYT1:23344| extended synaptotagmin-1 isoform 2 [Homo sapiens]	3	0.0001368	0.6589953
EIF4A2	gi|14150100|gn|NTPCR:84284| cancer-related nucleoside-triphosphatase [Homo sapiens]	3	0.0000063	0.7136272
MEPCE	gi|14150100|gn|NTPCR:84284| cancer-related nucleoside-triphosphatase [Homo sapiens]	3	0.0000514	0.6813865
EIF4A2	gi|14165437|gn|HNRNPK:3190| heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	3	0.2071799	0.2962001
MEPCE	gi|14165437|gn|HNRNPK:3190| heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	3	0.6869475	0.0396434
EIF4A2	gi|14165466|gn|PTBP1:5725| polypyrimidine tract-binding protein 1 isoform c [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|14165466|gn|PTBP1:5725| polypyrimidine tract-binding protein 1 isoform c [Homo sapiens]	3	0.0822275	0.3932911
EIF4A2	gi|14210536|gn|TUBB6:84617| tubulin beta-6 chain [Homo sapiens]	3	0.0005836	0.6218489
MEPCE	gi|14210536|gn|TUBB6:84617| tubulin beta-6 chain [Homo sapiens]	3	0.0000244	0.6960923
EIF4A2	gi|14211889|gn|DPY30:84661| protein dpy-30 homolog [Homo sapiens]	3	0.2464442	0.2754123
MEPCE	gi|14211889|gn|DPY30:84661| protein dpy-30 homolog [Homo sapiens]	3	0.2490463	0.2742601
